id,trackName,genre,trackArtist
2,Food,Hip-Hop,AWOL
3,Electric Ave,Hip-Hop,AWOL
5,This World,Hip-Hop,AWOL
10,Freeway,Pop,Kurt Vile
134,Street Music,Hip-Hop,AWOL
136,Peel Back The Mountain Sky,Rock,Abominog
139,CandyAss,Folk,Alec K. Redfearn & the Eyesores
140,Queen Of The Wires,Folk,Alec K. Redfearn & the Eyesores
141,Ohio,Folk,Alec K. Redfearn & the Eyesores
148,Blackout 2,Experimental,Contradiction
181,Gopacapulco,Rock,Ariel Pink's Haunted Graffiti
182,Jules Lost His Jewels,Rock,Ariel Pink's Haunted Graffiti
190,Castle Of Stars,Folk,Ed Askew
193,Here With You,Folk,Ed Askew
194,All I want to Do,Folk,Ed Askew
197,Piano 2,Folk,Ed Askew
198,It Breaks My Heart,Folk,Ed Askew
200,Baby Come Home,Folk,Ed Askew
203,Song For R,Folk,Ed Askew
204,My Dream,Folk,Ed Askew
207,Piano 3,Folk,Ed Askew
208,Safe Harbor,Folk,Ed Askew
209,Safe Harbor,Folk,Ed Askew
210,In the French Court,Folk,Ed Askew
211,In America,Folk,Ed Askew
212,When I Arive,Folk,Ed Askew
213,Boute,Pop,Au
237,Garbage and (Garbage and Fire),Jazz,Barnacled
247,A New Map for Kissing,Rock,Bird Names
249,The Indefinite Time Yet to Come,Rock,Bird Names
255,We Want to be Old,Rock,Bird Names
256,Toggle,Rock,Black Elk
257,My Lil',Rock,Black Elk
258,Eyebone,Rock,Black Elk
341,Count Dracula's castle,Rock,Blah Blah Blah
343,Cybernetics,Rock,Blah Blah Blah
352,In Arabia,Rock,Blah Blah Blah
368,Vampires,Rock,Blah Blah Blah
369,Whistle while you work,Rock,Blah Blah Blah
397,The Tides Of Land,Electronic,Borful Tang
398,Borful Tang Loves Nomeansno,Electronic,Borful Tang
399,ELI,Electronic,Borful Tang
400,Electronic Interlude VI,Electronic,Borful Tang
405,Majestic Shuffle,Electronic,Borful Tang
414,John And Mary - The Restaurant,Electronic,Borful Tang
424,The Ambient Honky,Experimental,Brian Joseph Davis
425,Track5,Experimental,Brian Joseph Davis
458,Hunt Like Devil 4,Rock,CAVE
459,Machines and Muscles,Rock,CAVE
512,"""""",Rock,Celesteville
534,I Can See You,Folk,Charles Manson
535,Angels Fear To Tread,Folk,Charles Manson
536,Riding On Your Fears,Folk,Charles Manson
537,I Don't Need Water Sprinklers In The Desert,Folk,Charles Manson
540,The Black Pirate,Folk,Charles Manson
546,If You Have No One,Folk,Charles Manson
550,Cello Duet No. 1,Electronic,Chief Boima
564,The Sugar Society,Rock,Cinwaves
573,When My Ship Comes In,Rock,Clockcleaner
574,Caliente Queen,Rock,Clockcleaner
583,"WAR (If It Feels Good, Do It!)",Hip-Hop,DJ's of Mass Destruction
584,Liberate The Children (Live),Hip-Hop,DJ's of Mass Destruction
585,Weapons? What Weapons of Mass Destruction? (Live),Hip-Hop,DJ's of Mass Destruction
590,Stuck,Jazz,Delta Dreambox
591,Without A Sound,Jazz,Delta Dreambox
592,Song X,Jazz,Delta Dreambox
593,Finally Here,Jazz,Delta Dreambox
602,Disappearing,Folk,Dora Bleu
603,Lover of Nightmares,Folk,Dora Bleu
605,I Was So Bored I Wanted To Hang Myself On The Dancefloor,Rock,Double Dagger
608,Punk Rock vs. Swiss Modernism,Rock,Double Dagger
615,"Immaterial, side A",Experimental,EKG
619,Pebble Beach,Folk,Ed Askew
620,Arabesque,Folk,Ed Askew
621,Blue Eyed Baby,Folk,Ed Askew
625,Climbing To The Top,Folk,Ed Askew
629,Dancing On Water,Folk,Ed Askew
631,Buddha Smiles,Folk,Ed Askew
633,Indian Giver,Rock,El Jesus De Magico
635,Xmas at Wounded Knee,Rock,El Jesus De Magico
664,side 6 - not funny,Electronic,Ethan Persoff
665,Disneyland (edit),Electronic,Ethan Persoff
666,Heat,International,Explode Into Colors
667,Sharpen The Knife,International,Explode Into Colors
668,Dream,Hip-Hop,Fanatic
669,Dream,Hip-Hop,Fanatic
672,Rise,Hip-Hop,Fanatic
673,Rise,Hip-Hop,Fanatic
674,Enterprizin,Hip-Hop,Fanatic
676,The Tension,Hip-Hop,Fanatic
677,The_Tension,Hip-Hop,Fanatic
679,Change Thoughts,Hip-Hop,Fanatic
680,Sunshine,Hip-Hop,Fanatic
681,Sunshine,Hip-Hop,Fanatic
684,Late Night Show,Hip-Hop,Fanatic
686,Murder,Hip-Hop,Fanatic
690,Cataclysm,Rock,Flying Luttenbachers
694,Planet Say (featuring Faust),Hip-Hop,Food For Animals
695,Elephants,Hip-Hop,Food For Animals
696,Korea,Rock,Foot Village
698,Iran,Rock,Foot Village
701,Japan,Rock,Foot Village
702,Mexico,Rock,Foot Village
703,Peru Austria and Canada,Rock,Foot Village
704,Mano De Dios,International,Fósforo
705,Tio Cocodrilo,International,Fósforo
706,Esto Es Califas,International,Fósforo
707,Cochabamba,International,Fósforo
708,Desconocido,International,Fósforo
709,Cumbia De Obama,International,Fósforo
714,Circle Moon,Folk,Fursaxa
715,Kokopelli,Folk,Fursaxa
716,Saxalainen,Folk,Fursaxa
717,Tyranny,Folk,Fursaxa
718,Song Of The Spindle Berry,Folk,Fursaxa
720,Camera Shy,Rock,Fuzz Unlimited
734,Crystal Migraine,Soul-RnB,Glass Candy
735,Iko! Iko!,Soul-RnB,Glass Candy
736,You Are the Fly,Soul-RnB,Glass Candy
737,Youe Deam Lover's On Video Again,Soul-RnB,Glass Candy
738,Cold Party,Soul-RnB,Glass Candy
739,Hurt,Soul-RnB,Glass Candy
740,Life After Sundown,Soul-RnB,Glass Candy
741,Sugar &amp; Whitebread,Soul-RnB,Glass Candy
742,B-Girls,Soul-RnB,Glass Candy
743,Brittle Woman,Soul-RnB,Glass Candy
744,Lovin' Machine,Soul-RnB,Glass Candy
745,Nite Nurses,Soul-RnB,Glass Candy
747,Nite Nurses,Soul-RnB,Glass Candy
748,track 4,Soul-RnB,Glass Candy
749,Your Deam Lover's On Video Again,Soul-RnB,Glass Candy
750,Iko! Iko! (vocal/conga mix),Soul-RnB,Glass Candy
751,Love Love Love,Soul-RnB,Glass Candy
752,The Chameleon,Soul-RnB,Glass Candy
753,track 5,Soul-RnB,Glass Candy
754,Labrea Tar Pit,Soul-RnB,Glass Candy
755,Love On a Plate,Soul-RnB,Glass Candy
756,Sugar &amp; Whitebread (instrumental),Soul-RnB,Glass Candy
757,track 6,Soul-RnB,Glass Candy
758,Lovin' Machine (nite Vocoder version),Soul-RnB,Glass Candy
759,Night Nurses,Soul-RnB,Glass Candy
760,Empty V,Soul-RnB,Glass Candy
761,Lovin' Machine (vocal dub),Soul-RnB,Glass Candy
762,Crystal Migraine,Soul-RnB,Glass Candy
763,Love Love Love,Soul-RnB,Glass Candy
764,Be a Dolly,Soul-RnB,Glass Candy
765,Love Love Love,Soul-RnB,Glass Candy
766,Love On a Plate,Soul-RnB,Glass Candy
767,Love On a Plate,Soul-RnB,Glass Candy
768,Brittle Woman,Soul-RnB,Glass Candy
769,The Screamers,Soul-RnB,Glass Candy
770,Black Veil,Soul-RnB,Glass Candy
771,Brittle Woman,Soul-RnB,Glass Candy
772,Johnny Are You Queer?,Soul-RnB,Glass Candy
773,Nite Nurses,Soul-RnB,Glass Candy
774,The Last Time,Soul-RnB,Glass Candy
775,Nite Nurses,Soul-RnB,Glass Candy
776,Hurt,Soul-RnB,Glass Candy
777,Relaxing,Rock,Glove Compartment
814,Motion Passings,Folk,Hall Of Fame
819,suBwarren1,Experimental,Hans Grüsel's Krankenkabinet
820,suBwarren2,Experimental,Hans Grüsel's Krankenkabinet
821,Sir,Pop,Hecuba
822,Tom & Jerry,Pop,Hecuba
823,YES,Pop,Hecuba
824,Black Mold,Rock,Here Comes A Big Black Cloud!!
825,Death March,Rock,Here Comes A Big Black Cloud!!
826,Graverobbin,Rock,Here Comes A Big Black Cloud!!
829,The Fly Pt. II,Rock,Here Comes A Big Black Cloud!!
830,Vietnam,Rock,Here Comes A Big Black Cloud!!
831,Late Late Show,Jazz,Here's How
832,My Heart Beats Like A Hammer,Jazz,Here's How
833,From This Moment On,Jazz,Here's How
834,You Showed Me The Way,Jazz,Here's How
835,Ain't No Use,Jazz,Here's How
853,Welsinsni Melodyi,International,Hutzl Ukranian Ensemble
854,INXS,Experimental,Nautical Almanac
855,Aimless Journey,Rock,I Am the Liquor
858,Blastered,Rock,I Am the Liquor
861,Kicking & Screaming,Rock,I Am the Liquor
863,Bariwax,Rock,I Am the Liquor
868,The Stars Are Beautiful,Experimental,Ian Nagoski
878,Bad Carnival Acid,Electronic,Illusion of Safety
881,I could be wrong,Electronic,Illusion of Safety
889,Wasteland,Electronic,Illusion of Safety
890,Softly Tomorrow,Folk,Ilyas Ahmed
891,Your One Mind,Folk,Ilyas Ahmed
892,Phantom Sky,Folk,Ilyas Ahmed
893,The Gathering,Folk,Ilyas Ahmed
894,Moon Falling,Folk,Ilyas Ahmed
895,Unveiled Nightmare,Folk,Ilyas Ahmed
896,2012,Rock,Impediments
897,02,Experimental,Infinite Body
898,09 (extended version),Experimental,Infinite Body
992,Beautiful Song w/ kick drum solo,Rock,Jason Willett
993,Or So I've Been Told,Rock,Jad Fair and Jason Willett
995,No Good Deed Goes Unpunished,Experimental,Kevin Shields
997,Nothing's Ever Ending,Experimental,Kevin Shields
998,Apparently,Experimental,Kevin Shields
1014,"Turk, Taylor and Jones",Rock,Kowloon Walled City
1015,My Hands Are Turning To Bricks,Rock,Kowloon Walled City
1016,Another Corporate Takeover,Rock,Kowloon Walled City
1017,Inheritance,Rock,Kowloon Walled City
1018,Make Us Pay,Rock,Kowloon Walled City
1022,Inasmuch As,Jazz,Kyle Bruckmann's Wrack
1023,Despite All Evidence to the Contrary,Jazz,Kyle Bruckmann's Wrack
1028,Masters Of Science Fiction,Rock,Lazy Magnet
1029,Wilder Climes,Rock,Lazy Magnet
1039,13 Monsters,Rock,Lightning Bolt
1040,Dracula Mountain,Rock,Lightning Bolt
1041,Live with Steve MacKay of the Stooges,Rock,Liquorball
1042,Big Ole Bear,Blues,Little Howlin' Wolf
1043,I'm Shufflin',Blues,Little Howlin' Wolf
1044,Last Double Eagle,Blues,Little Howlin' Wolf
1045,Baltimore Raven,Blues,Little Howlin' Wolf
1046,Eulb,Blues,Little Howlin' Wolf
1047,Astral Blue,Blues,Little Howlin' Wolf
1048,Blue Coochology,Blues,Little Howlin' Wolf
1052,Wide Mouth Penetrated Makeshift Mustache Man,Rock,Lovely Little Girls
1058,Credo,Jazz,Lozenge
1059,Numbrcrunchr,Jazz,Lozenge
1060,Fuck The man,Jazz,Lozenge
1061,Mr Fancy pants,Jazz,Lozenge
1063,No Fair,Jazz,Lozenge
1064,Undrbelly,Jazz,Lozenge
1066,Helicopter de Cristal,Experimental,Lucky Dragons
1068,Mi Corazon Zone,Experimental,Lucky Dragons
1069,Un Lagrima en la Discoteca,Experimental,Lucky Dragons
1071,Dura Big Screen TV Mix,Experimental,Lucky Dragons
1072,Ya Me Voy OK,Experimental,Lucky Dragons
1073,Onda Tocadisco,Experimental,Lucky Dragons
1075,Painful Corazon,Experimental,Lucky Dragons
1082,Nam Nhi-tu,International,M. Nguyen Van Minh-Con
1083,Feasting on Energy,Experimental,Magic Lantern
1085,jamdek,Electronic,Mahjongg
1086,countdown (the chicken),Electronic,Mahjongg
1087,Tell The Police The Truth,Rock,Mahjongg
1088,aluminum,Electronic,Mahjongg
1089,(bishop) desmond tutu,Electronic,Mahjongg
1093,Track 02,Experimental,Manbeard
1095,Track 04,Experimental,Manbeard
1102,Rare Vodka from the Fourteenth Century,Rock,Mary Halvorson and Weasel Walter
1105,Song 1,Rock,Mayor Daley
1106,Up With People,Rock,Mayor Daley
1107,Song 3,Rock,Mayor Daley
1108,Song 4,Rock,Mayor Daley
1117,Florida Blue,Rock,Mike Rep and the Quotas
1118,Black Hole,Rock,Mike Rep and the Quotas
1121,Circle Crazy,Electronic,Mincemeat or Tenspeed
1123,I Sell Love,Rock,Mink Lungs
1125,Sensual Pleasure,Rock,Mink Lungs
1126,Silent Sex,Rock,Mink Lungs
1130,Clowns In My Galaxy,Rock,Mink Lungs
1131,Bunny Bought a Spaceship,Rock,Mink Lungs
1138,In Abstracted Fashion,Rock,Minmae
1147,Walk To The Fire,Rock,Monoshock
1148,International Hello,Rock,Monoshock
1149,Sea Monkeys,Rock,Monoshock
1150,Model Citizen,Rock,Monoshock
1151,Desperado,Jazz,The Moonlighters
1152,My Blackbirds Are Bluebirds Now,Jazz,The Moonlighters
1153,Ballad Of A Gink,Jazz,The Moonlighters
1154,Hello Heartstring,Jazz,The Moonlighters
1155,Beyond The Reef,Jazz,The Moonlighters
1156,45 Revolutions,Rock,Mors Ontologica
1157,Bombshell,Rock,Mors Ontologica
1161,Massive Action,Rock,Mors Ontologica
1162,D.Y.I,Rock,Mors Ontologica
1165,Washington Beach,Rock,Mors Ontologica
1179,Shoes,Rock,Mors Ontologica
1183,Vampires In My Neighborhood,Rock,Mors Ontologica
1193,Wooly Mammoth's Absence,Folk,Mount Eerie
1195,With My Hands Out,Folk,Mount Eerie
1196,2 Blonde Braids,Folk,Mount Eerie
1197,My Burning,Folk,Mount Eerie
